,SeasonID,TeamID,TeamCity,TeamName,PlayoffRankLag1,WinPCTLag1,DiffPointsPGLag1,PlayoffRankLag2,WinPCTLag2,DiffPointsPGLag2,PlayoffRankLag3,WinPCTLag3,DiffPointsPGLag3,isPlayoff
15,22020,1610612764,Washington,Wizards,9.0,0.347,-4.7,11.0,0.39,-2.9,8.0,0.524,0.6,1
16,22020,1610612754,Indiana,Pacers,4.0,0.616,2.0,5.0,0.585,3.3,5.0,0.585,1.4,0
18,22020,1610612766,Charlotte,Hornets,10.0,0.354,-6.8,9.0,0.476,-1.1,10.0,0.439,0.3,0
20,22020,1610612741,Chicago,Bulls,11.0,0.338,-3.1,13.0,0.268,-8.4,13.0,0.329,-7.0,0
23,22020,1610612761,Toronto,Raptors,2.0,0.736,6.2,2.0,0.707,6.1,1.0,0.72,7.8,0
24,22020,1610612739,Cleveland,Cavaliers,15.0,0.292,-7.9,14.0,0.232,-9.6,4.0,0.61,0.9,0
26,22020,1610612753,Orlando,Magic,8.0,0.452,-1.0,7.0,0.512,0.7,14.0,0.305,-4.8,0
28,22020,1610612765,Detroit,Pistons,13.0,0.303,-3.6,8.0,0.5,-0.2,9.0,0.476,-0.1,0
0,22021,1610612748,Miami,Heat,6.0,0.556,0.0,5.0,0.603,2.9,10.0,0.476,-0.2,1
2,22021,1610612738,Boston,Celtics,7.0,0.5,1.5,3.0,0.667,6.3,4.0,0.598,4.4,1
5,22021,1610612749,Milwaukee,Bucks,3.0,0.639,5.9,1.0,0.767,10.1,1.0,0.732,8.9,1
7,22021,1610612755,Philadelphia,76ers,1.0,0.681,5.6,6.0,0.589,2.4,3.0,0.622,2.7,1
8,22021,1610612761,Toronto,Raptors,12.0,0.375,-0.5,2.0,0.736,6.2,2.0,0.707,6.1,1
10,22021,1610612741,Chicago,Bulls,11.0,0.431,-0.9,11.0,0.338,-3.1,13.0,0.268,-8.4,1
13,22021,1610612751,Brooklyn,Nets,2.0,0.667,4.5,7.0,0.486,-0.6,6.0,0.512,-0.1,1
14,22021,1610612737,Atlanta,Hawks,5.0,0.569,2.3,14.0,0.299,-8.0,12.0,0.354,-6.0,1
16,22021,1610612739,Cleveland,Cavaliers,13.0,0.306,-8.4,15.0,0.292,-7.9,14.0,0.232,-9.6,0
19,22021,1610612766,Charlotte,Hornets,10.0,0.458,-1.9,10.0,0.354,-6.8,9.0,0.476,-1.1,0
21,22021,1610612752,New York,Knicks,4.0,0.569,2.3,12.0,0.318,-6.5,15.0,0.207,-9.2,0
